[Header]
TITLE,Rb2YbNaF6 2p4mg puck3029 26Aug2020
BYAPP,HeatCapacity,3.9.6,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3807626285.6241,Error: Temperature of platform does not match the system temperature : System = 1.0004 K;  Platform = 1.0219 K
3807626332.79538,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\DR\DRPuck3029_smoothedv4.cal|Addenda #57 measured on 8/25/2020 from 0.067939 to 1.0332 K
3807626332.80633,,833,1.00017,1.00017,-0.03600527,9.8999999E-6,1.0338581,0.021989547,0.069118266,0.005826,0.36303677,0.003518,0.43215503,0.004644,2.0701882,2.6549591,,,,,1,,,,1.6277277E-7,6.0851949,1.0688625,0.066854697,0
3807626555.88869,,833,0.895473,0.895473,-0.024003511,9.8999999E-6,0.92252325,0.014994759,0.08851471,0.004261,0.35670014,0.003925,0.44521485,0.004261,1.0697055,3.6222437,0.39821081,57.596137,,,1,,,,1.269463E-7,5.3099182,0.85104914,0.095948487,0
3807626788.26978,,833,0.80122,0.80122,-0.024003511,9.8999999E-6,0.82778278,0.015893554,0.094727878,0.006224,0.34519593,0.003726,0.43992381,0.004986,2.2618136,3.7810013,,,,,1,,,,1.1635114E-7,7.2444874,0.68522433,0.11443567,0
3807627024.03724,,833,0.716895,0.716895,-0.060008783,9.8999999E-6,0.74026207,0.013128162,0.11198344,0.008685,0.32698427,0.004651,0.43896771,0.007334,2.1729368,4.4032697,,,,,1,,,,9.9691305E-8,7.5620027,0.54798794,0.1512754,0
3807627261.59233,,833,0.641699,0.641699,-0.060008783,9.8999999E-6,0.6630642,0.011691096,0.14012637,0.008539,0.30551458,0.003986,0.44564094,0.007552,2.0120663,5.3206322,,,,,1,,,,8.3757142E-8,8.8065395,0.43965413,0.21133152,0
3807627506.32764,,833,0.574154,0.574154,-0.03600527,9.8999999E-6,0.59352801,0.010794718,0.16770451,0.007905,0.28174276,0.00325,0.44944728,0.007206,2.2075654,6.4531677,,,,,1,,,,6.9647544E-8,10.641264,0.3522755,0.28255535,0
3807627759.89747,,833,0.513913,0.513913,-0.048007023,9.8999999E-6,0.53111829,0.0098652982,0.20747586,0.008093,0.24602409,0.002623,0.45349995,0.007656,6.1476081,7.8473604,,,,,1,,,,5.7790126E-8,12.906335,0.28208664,0.39063964,0
3807628025.24621,,833,0.459817,0.459817,-0.012001756,9.8999999E-6,0.47567948,0.0089735644,0.25332228,0.00871,0.19455995,0.001922,0.44788223,0.008496,7.784303,8.8643528,,,,,1,,,,5.0526219E-8,15.694721,0.22627097,0.53254827,0
3807628296.94505,,833,0.411515,0.411515,-0.012001756,9.8999999E-6,0.42483495,0.0075349524,0.30869264,0.01305,0.14370491,0.002091,0.45239755,0.01288,4.8607239,9.9723914,,,,,1,,,,4.5365002E-8,17.728706,0.18048473,0.72661782,0
3807628727.50944,,833,0.368213,0.368213,-0.03600527,9.8999999E-6,0.38138375,0.0091661352,0.37442714,0.0123,0.10801324,0.002248,0.48244038,0.01209,4.7582538,13.702057,,,,,1,,,,3.5209341E-8,35.476499,0.14545356,0.98175957,0
3807629798.85249,,833,0.329551,0.329551,0.024003511,9.8999999E-6,0.34109781,0.006641271,0.4614516,0.02088,0.08305044,0.001928,0.54450204,0.02079,9.6714058,15.68124,,,,,1,,,,3.472315E-8,36.180042,0.11634771,1.3528425,0
3807631687.59958,Error: Cannot get a consistent time-constant measurement---skipping this temperature.
3807632154.47436,,833,0.264206,0.264206,-0.048007023,9.8999999E-6,0.27310337,0.0064372597,0.65280057,0.005397,0.056218658,0.0009762,0.70901923,0.005397,0.64310009,53.708651,0.45439823,87.195185,,,1,,,,1.4860399E-8,76.467937,0.074585453,2.3903058,0
3807633419.85672,,833,0.236379,0.236379,-0.096014045,9.8999999E-6,0.24560843,0.0073771805,0.78237261,0.004223,0.049268266,0.0008083,0.83164088,0.004223,0.66695972,79.017983,0.52192597,86.72434,,,1,,,,1.1961361E-8,155.37313,0.060323502,3.1854469,0
3807634415.02692,,833,0.211556,0.211556,-0.12001757,9.8999999E-6,0.21986382,0.0054797022,0.93641654,0.007015,0.044488476,0.0008787,0.98090502,0.007015,0.41312457,110.72062,0.61220542,85.40658,,,1,,,,1.0247746E-8,158.03597,0.048340097,4.2590753,0
3807637092.49022,,833,0.189442,0.189442,-0.19202809,9.8999999E-6,0.1979623,0.0061671016,1.1372,0.006499,0.04095345,0.000689,1.1781535,0.006499,0.58338879,171.80193,0.75937621,84.756407,,,1,,,,8.0126943E-9,333.50078,0.039189072,5.7445283,0
3807639195.07365,,833,0.169381,0.169381,-0.26403865,9.8999999E-6,0.17746676,0.0049378499,1.3470481,0.01094,0.040542271,0.0007943,1.3875904,0.01094,0.5906471,244.34358,0.97037171,83.53,,,1,,,,6.7390956E-9,343.60386,0.031494451,7.5904248,0
3807645237.73302,,833,0.15171,0.15171,-0.26403865,9.8999999E-6,0.15930217,0.0048565564,1.6325309,0.01199,0.04511811,0.001124,1.677649,0.01199,0.98002818,364.85011,1.3910756,82.674161,,,1,,,,5.5148764E-9,713.3837,0.025377183,10.248014,0
3807650199.59396,,833,0.13566,0.13566,-0.16802458,9.8999999E-6,0.14286977,0.0042205988,1.8776642,0.01873,0.046007271,0.001066,1.9236714,0.01873,0.63741071,511.91392,1.8651375,81.057616,,,1,,,,4.598209E-9,729.70022,0.020411773,13.142487,0
3807655537.64101,,833,0.12148,0.12148,-0.27604041,9.8999999E-6,0.12832511,0.0037294342,2.1997118,0.02539,0.073313044,0.002153,2.2730248,0.02539,0.41747372,726.89981,3.816925,79.281662,,,1,,,,3.8973599E-9,1023.8278,0.016467335,17.141709,0
3807663767.59071,,833,0.108685,0.108685,-0.2520369,9.8999999E-6,0.11558937,0.0033122241,2.5511337,0.04183,0.077257197,0.003926,2.6283909,0.04183,0.61270124,1018.4287,5.1688241,77.6054,,,1,,,,3.2870066E-9,1453.7996,0.013360902,22.07066,0
3807675227.26701,,833,0.0973084,0.0973084,-0.16802458,9.8999999E-6,0.10378048,0.0029327089,2.8904245,0.05627,0.065657745,0.003041,2.9560822,0.05627,0.45475607,1365.9234,5.6350227,75.23252,,,1,,,,2.8490554E-9,2036.8574,0.010770389,27.85133,0
