[Header]
TITLE,Rb2YbNaF6 2p4mg puck3029 26Aug2020
BYAPP,HeatCapacity,3.9.6,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3807689326.97779,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\DR\DRPuck3029_smoothedv4.cal|Addenda #58 measured on 8/25/2020 from 1.1344 to 3.9114 K
3807689326.98702,,833,4.0001,4.0001,-0.03600527,9.8999999E-6,4.0925629,0.074679721,0.57288053,0.01155,1.9283759,0.01045,2.5012564,0.01155,0.6779722,3.1091504,0.11303785,82.600622,,,1,,,,8.1371118E-7,6.2379703,16.749071,0.13998087,0
3807689559.38213,,833,3.8,3.8,-0.03600527,9.8999999E-6,3.9115477,0.077222436,0.47353333,0.009575,1.6783093,0.00898,2.1518427,0.009575,1.0871147,2.8052773,0.10926659,81.15002,,,1,,,,7.7605199E-7,6.2183009,15.300205,0.12106035,0
3807689790.46253,,833,3.60937,3.60937,-0.060008783,9.8999999E-6,3.7221322,0.075436106,0.40171218,0.008047,1.4414967,0.007562,1.8432089,0.008047,1.67566,2.5568522,0.11316063,78.951923,,,1,,,,7.3044697E-7,5.6105547,13.854268,0.10792528,0
3807690016.94396,,833,3.42895,3.42895,-0.03600527,9.8999999E-6,3.5371819,0.073197333,0.33051727,0.006826,1.2316248,0.006359,1.562142,0.006826,0.91658245,2.2429609,0.079026342,82.273524,,,1,,,,7.0342959E-7,5.1137045,12.511656,0.093440845,0
3807690241.07615,,833,3.25739,3.25739,-0.096014045,9.8999999E-6,3.3580747,0.069156891,0.27997936,0.005825,1.0544998,0.005454,1.3344792,0.005825,1.5451284,2.0462084,0.088533697,78.898739,,,1,,,,6.6020104E-7,4.4859218,11.276666,0.083374963,0
3807690462.60345,,833,3.09473,3.09473,-0.012001756,9.8999999E-6,3.1866511,0.066013419,0.23895093,0.004988,0.90532892,0.004672,1.1442799,0.004988,1.3092215,1.8640657,0.10122159,74.680534,,,1,,,,6.2346766E-7,4.0924167,10.154745,0.074984969,0
3807690681.85687,,833,2.93909,2.93909,-0.048007023,9.8999999E-6,3.0325002,0.062776608,0.20170011,0.004153,0.78916909,0.003877,0.9908692,0.004153,1.5690461,1.6917818,0.08637957,75.533526,,,1,,,,5.9398602E-7,3.7281314,9.1960577,0.066512808,0
3807690916.41211,,833,2.79221,2.79221,-0.15602283,9.8999999E-6,2.8821704,0.059234382,0.17386919,0.003733,0.69414546,0.003367,0.86801465,0.003733,0.92092265,1.5730644,0.094853395,71.99131,,,1,,,,5.6097465E-7,3.3835635,8.306906,0.060325787,0
3807691131.06751,,833,2.65255,2.65255,-0.12001757,9.8999999E-6,2.7449977,0.056487199,0.14194839,0.003939,0.62042296,0.003715,0.76237135,0.003939,0.94498024,1.4326205,0.072141097,74.590681,,,1,,,,5.3877375E-7,3.1461288,7.5350126,0.051711659,0
3807691342.86474,,833,2.51964,2.51964,-0.096014045,9.8999999E-6,2.5885431,0.051832135,0.13378822,0.005318,0.55174817,0.004881,0.68553639,0.005318,1.0188007,1.3786209,0.082638303,71.740238,,,1,,,,5.052067E-7,2.8652411,6.7005555,0.051684756,0
3807691555.96727,,833,2.39389,2.39389,-0.13201933,9.8999999E-6,2.4610083,0.048906203,0.11299987,0.005706,0.50371315,0.005329,0.61671301,0.005706,0.97178582,1.2992087,0.099813712,65.210335,,,1,,,,4.8390817E-7,2.7572419,6.0565619,0.045916084,0
3807691769.93727,,833,2.27436,2.27436,-0.12001757,9.8999999E-6,2.3384815,0.045600367,0.098424605,0.005408,0.4628371,0.004836,0.5612617,0.005408,0.80950181,1.2576204,0.092074661,65.614044,,,1,,,,4.5405998E-7,2.5984173,5.4684959,0.042089109,0
3807691979.77271,,833,2.15991,2.15991,-0.16802458,9.8999999E-6,2.222427,0.043136989,0.088050724,0.004499,0.42821573,0.004103,0.51626646,0.004499,1.4015111,1.2119175,0.088220714,65.277718,,,1,,,,4.331094E-7,2.5152407,4.9391819,0.039619174,0
